tx_id,time,target,action,status,object,state,attempts,notes,collected_at
1777942801044-144-448470411,2026-05-06 06:11 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780621201080-868-1087310219,2026-06-06 04:34 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776261904279-10-899677857,2026-05-01 19:40 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1779325201075-697-1072662030,2026-05-22 03:59 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780016401327-673-747697043,2026-05-30 03:53 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780362001056-107-1087310219,2026-06-03 04:31 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1777597201036-578-60534480,2026-05-02 06:08 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1777510801057-386-60534480,2026-05-01 06:02 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1778461201055-4-131326132,2026-05-12 06:03 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780297201418-6-1726329946,2026-06-01 09:00 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780486699317-14-2008929427,2026-06-03 13:38 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1778547601037-590-131326132,2026-05-13 05:59 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1781139601030-545-75875296,2026-06-12 04:30 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1781223231241-591-1677493415,2026-06-12 02:13 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1781053201028-447-75875296,2026-06-11 04:30 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1781092587750-11-1192232140,2026-06-10 13:56 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780966801046-286-75875296,2026-06-10 04:30 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780880401097-4-75875296,2026-06-09 04:32 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780906330567-176-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780906330567-175-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780906330567-173-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780906330566-172-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780906330567-174-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780621201080-868-1087310219,2026-06-06 04:34 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780534801032-744-1087310219,2026-06-05 04:38 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780448401070-281-1087310219,2026-06-04 04:32 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780486764970-15-603698977,2026-06-03 13:39 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780486699317-14-2008929427,2026-06-03 13:38 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780464803492-3-1574102594,2026-06-03 07:33 CEST,ODC,Material Status Info,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780362001056-107-1087310219,2026-06-03 04:31 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780275626196-1-1087310219,2026-06-02 03:58 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780319338064-3-1537204564,2026-06-01 15:08 CEST,ODC,Material Status Info,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780297201418-6-1726329946,2026-06-01 09:00 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1780016401327-673-747697043,2026-05-30 03:53 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1779930001037-564-747697043,2026-05-29 03:53 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1779843601038-428-747697043,2026-05-28 03:55 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1779757201048-219-747697043,2026-05-27 03:56 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1779670801053-4-747697043,2026-05-26 03:55 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:18:38
1781139601030-545-75875296,2026-06-12 04:30 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1781223231241-591-1677493415,2026-06-12 02:13 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1781053201028-447-75875296,2026-06-11 04:30 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1781092587750-11-1192232140,2026-06-10 13:56 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1780966801046-286-75875296,2026-06-10 04:30 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1780880401097-4-75875296,2026-06-09 04:32 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1780906330567-176-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
1780906330567-175-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:19:09
